economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BDI,83.348,82.48,81.561,80.577,79.526,78.357,77.057,77.675,78.219,78.77,79.267,79.631,79.95,80.235,80.46,80.778,81.001,81.087,81.073,80.888,78.558,80.488,80.249,79.98
BEL,43.616,41.787,42.506,42.881,44.185,45.687,45.818,46.59,46.928,46.979,47.774,47.103,47.155,47.804,48.125,48.045,47.81,47.974,48.769,49.097,48.659,49.367,50.029,49.834
BEN,63.474,64.381,65.319,65.78,66.244,66.715,67.187,67.66,68.136,68.616,69.1,69.588,70.202,70.81,71.412,72.007,72.597,73.179,73.755,74.325,73.587,74.754,74.633,74.802
BFA,77.315,77.068,76.819,76.568,76.315,76.062,75.811,75.561,75.314,75.067,74.817,74.565,74.31,74.052,73.793,73.531,73.267,73.0,72.734,72.467,69.457,67.668,65.403,64.722
BGD,28.671,28.878,28.98,29.055,29.123,29.194,29.241,30.797,32.398,34.041,35.723,35.021,34.316,33.616,33.571,33.531,33.497,36.676,38.056,39.33,40.323,42.181,43.687,41.874
BGR,44.321,46.664,46.197,44.865,45.711,44.646,46.742,48.069,48.92,48.062,47.819,47.2,47.958,48.534,48.389,48.725,47.437,49.604,49.175,50.385,49.517,49.193,50.802,51.029
BHR,34.267,34.91,35.493,36.073,36.673,37.61,38.62,39.727,40.943,42.274,43.59,42.579,42.806,42.952,43.095,43.369,43.543,43.581,43.209,42.516,41.047,41.196,42.205,42.382
BHS,68.089,68.303,68.495,68.668,68.825,68.965,69.101,69.225,69.337,69.433,69.521,69.633,69.764,69.915,70.09,70.291,70.509,70.76,71.023,71.252,65.17,66.863,70.887,71.014
BIH,41.249,41.131,41.141,40.934,40.792,40.562,40.519,40.479,40.457,40.333,40.214,39.774,39.563,39.306,38.994,38.824,38.632,38.558,38.384,38.209,37.115,37.416,38.537,39.533
BLR,53.472,54.121,54.578,54.932,55.18,55.418,55.723,56.055,56.488,56.961,57.407,57.832,58.162,58.402,58.566,58.668,58.75,58.591,58.081,58.277,57.884,58.024,57.892,57.417
BLZ,39.808,40.317,40.829,41.346,41.864,42.385,42.908,43.433,43.959,44.486,44.998,45.496,45.998,46.501,47.392,48.253,49.101,48.678,54.103,57.096,41.478,46.813,43.563,44.076
BMU,,,,,,,,,,,,,,,,,,,,,,,,
BOL,58.98,58.83,58.69,58.561,58.433,58.305,58.177,58.05,57.924,57.798,57.671,57.545,57.42,57.294,57.169,57.044,56.919,59.112,63.56,66.243,65.02,71.057,71.715,72.455
BRA,51.851,52.957,54.57,54.776,55.642,56.859,56.546,56.286,56.039,56.567,55.049,53.517,52.873,52.826,52.714,53.323,53.522,54.353,54.581,55.306,50.338,52.482,53.864,53.205
BRB,63.612,63.804,63.93,64.051,64.711,64.689,64.675,64.677,64.646,64.545,64.422,64.298,62.881,63.997,63.225,61.731,62.528,62.517,61.625,61.588,59.687,58.963,61.109,61.146
BRN,54.851,55.678,55.83,55.963,56.076,56.173,56.255,56.329,56.426,56.589,56.829,57.074,57.224,57.304,57.355,57.383,57.411,57.458,57.72,55.057,54.472,54.791,53.7,54.827
BTN,59.314,60.142,61.032,61.96,62.923,63.749,64.326,64.807,65.254,65.615,63.319,62.328,63.073,58.19,53.93,54.976,54.892,54.815,54.743,60.631,63.002,64.902,52.51,56.618
BWA,49.511,50.088,50.663,51.259,51.905,52.584,53.282,54.17,55.073,55.988,53.337,54.162,54.887,55.432,55.889,56.288,56.68,57.102,57.556,58.044,56.142,58.943,59.93,63.426
CAF,65.774,65.792,65.822,65.863,65.881,65.898,65.883,65.847,65.824,65.871,65.914,65.832,65.693,65.549,65.391,65.301,65.301,65.308,65.313,65.359,64.776,64.799,65.525,65.608
CAN,58.669,58.978,60.159,61.174,61.292,60.992,61.268,61.769,61.9,61.889,61.867,61.643,61.73,61.816,61.204,60.969,60.879,61.072,60.965,61.253,59.379,60.634,61.049,61.134
CEB,47.3261830445695,47.7897673296719,47.4128755551488,47.2528337103187,47.0853046487366,46.9349385698044,46.8672172327802,46.8542909880362,47.215927868191,46.6236440418309,47.6166043061157,47.5482078829092,47.9025923517534,47.9920727798298,48.4112566649286,48.7086259720424,48.771404289335,49.2838846147927,49.3521319289648,49.300550105945,48.9935911493099,49.8629579860181,50.6275960473224,50.8777791701492
CHE,57.595,58.797,59.358,59.497,59.132,59.35,59.755,59.956,61.329,61.646,60.021,60.613,60.903,61.21,61.988,62.36,62.934,62.705,63.007,63.079,62.636,62.631,61.931,62.375
CHI,49.345,49.633,50.236,50.559,50.691,51.137,51.326,51.595,51.712,51.838,52.783,51.719,51.902,52.312,51.111,51.239,51.517,51.412,51.305,51.31,50.528,50.885,50.891,50.001
CHL,37.7,36.726,36.448,37.8,39.211,40.131,41.288,42.235,44.182,44.615,46.856,48.913,49.179,49.656,50.288,50.352,50.756,51.739,52.416,52.651,45.442,46.579,50.025,51.963
CHN,67.913,67.502,67.088,66.67,66.25,65.826,65.4,64.972,64.541,64.108,63.672,63.662,63.333,63.023,62.826,62.605,62.326,61.957,61.585,61.305,59.711,61.182,60.097,60.216
CIV,50.363,51.366,52.371,53.377,54.385,55.396,56.408,57.421,58.42,59.41,60.409,61.415,62.427,61.354,60.285,59.228,58.173,57.507,56.841,56.176,56.484,57.846,59.059,59.258
CMR,77.861,77.905,77.954,77.998,78.031,78.055,78.075,78.096,75.727,73.187,70.481,69.623,68.757,67.885,67.006,65.628,64.23,62.821,61.419,60.035,58.059,57.093,57.098,57.095
COD,71.353,71.34,71.323,71.297,71.279,71.275,70.091,68.88,67.643,66.381,65.096,63.787,62.458,62.255,62.049,61.84,61.662,61.492,61.275,61.038,60.259,60.48,61.434,61.719
COG,66.338,66.536,66.545,66.596,66.706,66.817,66.924,66.999,67.001,67.055,67.094,67.011,66.888,66.742,66.62,66.526,66.471,66.458,66.472,66.513,63.276,64.018,65.72,65.642
COL,53.39,53.393,52.356,53.712,52.953,51.148,50.562,49.981,50.37,53.922,54.415,54.946,56.011,55.303,55.002,55.255,54.719,54.343,53.244,52.398,51.108,51.679,50.922,51.833
COM,32.238,32.315,32.373,32.457,32.62,32.629,32.635,32.64,32.646,32.654,32.665,32.678,32.694,32.711,32.729,34.778,36.845,38.973,41.147,43.318,44.892,47.073,47.033,47.058
CPV,44.134,44.524,44.928,45.352,45.799,46.269,46.764,47.285,47.831,48.403,51.329,51.431,51.537,51.641,51.743,51.843,51.941,52.038,48.62,50.407,46.76,47.643,49.927,50.216
CRI,38.642,41.564,41.143,41.454,39.832,43.679,43.309,44.3,44.444,44.827,44.113,46.479,51.437,51.249,51.34,50.06,46.018,45.905,48.659,52.726,48.644,50.251,50.283,44.088
CSS,46.8748990344172,47.1126941437475,47.3739659471277,48.441597747887,49.5475309680575,50.5266119490094,50.9928789456386,50.7569425185885,51.3115940302207,51.0180414244333,51.0052847677153,50.8935663245026,51.8139763770593,52.1238179727615,52.5059116583464,52.1720265690208,52.5247938365044,52.5489161160958,53.0431264714438,52.7031573868595,48.7025489018963,49.7816508942659,51.431664446526,51.7796158767382
CUB,36.259,36.714,37.06,37.514,38.073,39.002,39.999,40.724,41.274,42.464,41.932,42.401,42.916,43.436,43.803,44.31,44.479,44.641,44.767,44.687,42.291,42.429,41.921,41.159
CUW,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,
CYP,49.302,51.87,52.342,53.747,53.674,53.507,54.296,55.717,56.119,56.692,57.839,57.516,57.202,57.37,58.944,59.097,58.281,58.922,59.627,60.096,59.05,59.534,61.219,62.495
CZE,51.637,51.274,50.954,50.83,50.554,50.657,50.53,49.75,49.224,49.436,49.231,49.472,50.041,50.888,50.803,51.187,51.735,52.114,52.559,52.3,51.463,51.555,52.191,53.241
DEU,49.001,49.347,49.58,49.985,49.742,50.694,51.758,52.21,51.998,52.624,52.528,53.71,53.68,54.194,54.468,54.441,54.808,55.138,55.211,55.709,55.113,55.018,55.538,55.821
DJI,16.302,16.406,16.502,16.542,16.549,16.581,16.66,16.771,16.89,17.01,17.125,17.241,17.359,17.485,17.627,17.785,17.959,18.146,18.34,18.531,18.264,18.537,18.678,18.936
DMA,,,,,,,,,,,,,,,,,,,,,,,,
DNK,60.03,59.874,60.309,59.949,60.627,60.62,61.296,60.849,60.052,59.768,58.97,58.71,58.281,57.679,57.097,56.837,57.677,57.739,57.649,58.06,57.886,58.161,59.551,59.812
DOM,39.73,38.363,40.04,39.184,39.168,39.791,40.6,40.275,41.848,38.945,41.672,43.662,45.206,45.088,45.368,48.157,48.821,49.009,50.285,52.542,47.412,51.06,50.478,52.482
DZA,12.026,12.16,12.318,12.503,12.713,12.954,13.225,13.528,13.865,14.234,14.418,14.614,14.821,15.036,15.256,15.258,15.031,14.919,14.801,14.677,13.206,13.433,14.331,14.338
EAP,64.8189801223195,64.3585058348575,63.7889627855474,63.4187857367806,63.0021683744347,62.6077233325823,62.2675058910895,62.417878044318,62.1387575883033,61.8803752354711,61.6233220876394,61.7181076849289,61.4886130172609,61.0699559544243,60.9511901207622,60.7490886000682,60.4690152945379,60.1188046304336,60.0630901986516,59.8804331153185,58.3387327461085,59.1581022772559,58.8626535061629,59.0423926545231
EAR,36.955313005409,36.8438953164466,36.6410595657314,36.7378609435329,36.7528104928748,36.8126185372696,36.3381412661564,36.2529553153555,35.7206497665141,35.4648780566321,35.1830871705062,34.8272719018549,34.6280948938604,34.4801582791425,34.3668429637537,34.4715926647993,34.4723760285488,34.5212476306705,34.5762697110517,34.694704017229,33.4757918212211,34.6112771644715,35.8064016592473,36.7409246203878
EAS,62.8777300404233,62.5113408943781,62.0081105162906,61.6718870014973,61.3584485519859,61.0615334172942,60.8039960821399,60.9535659839993,60.7194326885555,60.4867687277767,60.2640233686652,60.353585033116,60.1667583358281,59.8671652042796,59.8266413211049,59.6916484323044,59.5083991310146,59.2748334813587,59.3268263968999,59.2434950535024,57.8451867787979,58.6332731427544,58.4578606544759,58.6880975430552
ECA,45.6154127441738,45.4972636727137,45.5447574029645,44.9532277360746,43.6285507469215,43.3167249815347,43.1480136106159,42.9306887684724,42.9394567919826,43.2375070621253,43.5588713181867,43.7852570372911,43.7368629565577,43.8297942590948,43.6257007787854,43.8770259708606,44.0817049741493,44.1860218481217,44.1969735256302,44.1077865357059,42.5272725421191,43.087070587688,43.3115733807368,43.6481859396916
ECS,48.3512806473989,48.1724688338823,48.5654794004145,48.6198753733723,48.5604767691501,48.7952831025793,49.0790395052849,49.2418728833842,49.4314362020823,49.578125322598,49.7172291583343,49.9509910394606,50.1371418018735,50.193307879822,50.1997871879453,50.2465494617249,50.4270132617854,50.5150626044321,50.5906111217756,50.5703938826072,49.8192034299814,50.3583974435498,51.0950096408625,51.3615047823943
ECU,45.876,46.976,48.074,49.17,52.726,51.916,52.7,51.955,52.022,49.664,48.011,47.065,48.081,48.131,47.689,51.905,55.406,56.173,54.481,54.402,48.241,53.63,54.244,52.521
EGY,20.406,20.337,18.191,18.925,19.68,20.457,21.259,23.326,21.895,22.915,23.19,22.537,22.511,23.012,23.166,22.813,23.072,22.184,18.415,15.859,14.609,15.59,15.233,18.478
EMU,45.7273373386085,45.6965043243261,46.3015775078949,46.9822695159976,47.3379453589566,47.8938554178165,48.4536929420035,48.7852639049359,49.1312862868544,49.446933328433,49.5443344020205,49.828324938839,50.2511352679459,50.3883243184088,50.4712393342943,50.4602794589774,50.654021782094,50.8112531456594,50.9085737927019,51.1086042152201,50.3555893988266,51.0355798004986,51.577774652787,51.9938483418266
ERI,74.091,74.071,74.061,74.07,74.083,74.065,74.022,73.955,73.902,73.845,73.783,73.716,73.632,73.559,73.475,73.372,73.273,73.159,73.044,72.929,71.989,72.622,72.851,72.862
ESP,40.657,39.439,41.891,43.378,44.756,46.176,47.598,48.547,49.934,51.013,51.711,52.29,52.895,52.831,52.629,52.62,52.485,52.281,51.873,52.039,50.922,52.177,52.281,52.773
EST,52.575,51.986,51.03,52.274,53.198,53.512,54.656,54.019,54.784,54.714,55.069,55.617,55.38,55.341,54.54,55.747,56.295,57.006,57.281,57.34,57.133,57.777,60.138,61.049
ETH,74.575,74.554,74.546,74.548,74.557,74.571,74.525,74.481,74.439,74.399,74.36,74.322,74.286,74.251,72.219,70.185,68.148,66.108,64.059,62.001,59.297,57.555,58.001,58.141
EUU,46.333590653606,46.4377665314194,46.8207850408989,47.278082987194,47.5187390447948,47.9398421599187,48.3623875132712,48.623496157399,48.9475112884645,49.0292814294314,49.3325907280392,49.5712083837619,49.9701063040754,50.1041149468768,50.2327670599766,50.2881483598504,50.4648030294592,50.7052712896773,50.8024288337288,50.9563983949262,50.2947202876465,50.9889401157023,51.5700843231279,51.9690117680907
FCS,58.0124885878969,57.9024258420781,57.7144292942954,57.4574559950313,57.3198340807783,57.1959584537689,56.969339160795,56.7650255719197,56.4579904658248,56.2004901923747,55.9469924564495,55.7903851597844,55.4596404626636,55.3040826578107,54.9620820902501,54.6689169803174,54.2516888488024,53.6294931714728,53.2094751033114,52.5566485467257,51.0112120980625,50.8025391394096,50.9610308640736,53.9892253878653
FIN,56.566,57.281,57.75,57.631,57.573,58.157,58.337,57.33,57.374,56.861,55.871,55.743,55.865,55.568,55.297,55.407,54.982,55.027,55.688,55.677,55.175,55.927,57.267,57.489
FJI,37.841,37.429,37.017,36.605,36.192,34.969,36.711,38.475,40.268,42.086,43.912,45.74,44.326,42.925,41.54,40.016,38.51,38.501,38.505,38.526,36.179,36.55,38.205,38.419
FRA,48.535,48.324,48.535,49.736,49.582,50.137,50.229,50.62,50.74,51.065,51.083,50.995,51.196,51.318,51.012,50.957,50.83,50.625,50.813,50.615,50.05,51.605,51.862,52.108
FRO,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,
GAB,37.865,37.995,38.139,38.309,38.499,38.708,38.932,39.192,39.455,39.732,40.025,40.322,40.622,40.925,41.208,41.453,41.649,41.796,41.909,41.994,39.063,39.763,41.904,41.876
GBR,53.66,53.533,54.146,54.111,54.534,54.864,55.378,55.146,55.449,55.604,55.529,55.67,55.929,56.256,56.521,56.722,57.074,57.273,57.525,58.037,58.277,58.02,57.703,57.38
GEO,68.205,67.319,66.464,65.003,64.224,63.093,62.089,60.953,60.721,60.943,60.384,59.769,59.313,59.008,58.811,58.678,58.551,58.382,55.742,54.716,55.206,53.055,55.755,56.251
GHA,68.895,68.76,68.625,68.489,68.354,68.218,68.083,67.947,67.811,67.675,67.539,67.404,67.268,67.132,66.096,65.049,64.013,62.967,61.516,60.063,57.957,56.85,55.507,55.53
GIB,,,,,,,,,,,,,,,,,,,,,,,,
GIN,62.907,62.781,62.713,61.566,60.41,59.249,58.078,56.894,55.7,54.499,53.291,52.077,50.859,49.638,48.414,47.185,45.954,44.725,43.497,42.271,41.854,41.989,42.529,42.739
GMB,45.454,45.657,45.184,45.45,45.723,45.295,44.999,44.963,45.154,45.375,45.546,44.653,44.784,44.75,44.404,44.465,44.377,44.498,44.792,45.017,44.823,44.967,45.13,45.242
GNB,55.507,55.548,55.587,55.623,55.66,55.693,55.717,55.743,55.774,55.812,55.854,55.896,55.939,55.987,56.042,56.11,56.189,56.285,56.399,56.063,56.768,58.375,59.972,60.084
GNQ,52.655,52.614,52.563,52.496,52.398,52.306,52.248,52.222,52.239,52.324,52.485,52.696,52.931,53.176,53.404,53.596,53.745,53.85,53.911,53.931,50.146,50.951,53.526,53.265
GRC,39.478,38.729,39.27,39.859,41.048,41.255,41.607,41.488,41.532,42.576,43.229,43.077,43.383,43.172,43.517,44.028,44.091,43.828,43.387,43.513,42.721,43.261,44.413,44.646
GRD,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,
GTM,46.075,46.14,46.346,47.982,42.045,41.947,41.858,41.778,41.708,41.648,41.598,40.096,44.986,39.687,39.978,38.437,39.525,38.656,38.408,37.107,38.299,42.496,40.502,38.14
GUM,60.074,58.087,54.398,53.502,52.599,54.802,55.193,48.288,50.81,53.319,56.437,56.107,56.176,56.235,56.299,56.338,56.36,56.404,56.4,56.497,53.58,54.128,56.289,56.391
GUY,35.401,34.818,34.228,34.892,35.543,36.189,36.827,37.454,38.07,38.675,39.268,39.85,40.442,41.049,41.657,42.273,42.902,43.543,44.263,41.347,40.299,40.752,45.133,46.479
HIC,50.995111894478,50.8959528849035,51.1110582682499,51.2233034955269,51.4070454162511,51.721597006957,52.0472933167114,52.2178164876839,52.4288920710018,52.4152403788852,52.4017209235698,52.4511891713464,52.6027113075628,52.6403398290024,52.7547885062254,52.7562000694467,52.9903480013617,53.210194928057,53.5055692761639,53.8018629528812,53.1263535929613,53.5717057317729,54.0820453811557,54.4534633166588
HKG,48.986,50.308,51.449,51.022,51.273,51.65,52.017,52.503,52.446,52.56,51.257,52.325,52.893,53.869,53.936,54.211,54.28,54.645,54.747,54.51,53.728,53.718,52.789,52.27
HND,43.406,42.99,42.581,42.178,41.782,41.394,38.459,37.827,39.44,40.918,42.656,39.675,38.294,43.408,46.005,46.551,45.913,45.758,50.022,44.526,47.039,48.071,43.606,39.364
HPC,63.5736266998506,63.6304760241785,63.6460490685617,63.6223098750023,63.6299806184423,63.6113763123943,63.3785364625699,63.149644381401,62.8576286125651,62.5885300143105,62.34199939533,62.4271380448561,61.4188086980734,61.9256027034513,60.9803571165881,60.3311448017554,59.731617231874,59.0025493835559,58.5708378262226,57.9492736696254,57.1146123822701,57.0016757462526,56.7814369351425,59.4711647701372
HRV,44.411,44.305,44.136,44.088,45.204,45.394,45.42,45.055,45.65,46.582,46.029,44.475,44.466,44.453,46.252,46.662,45.148,45.236,45.012,44.78,44.447,45.869,46.975,47.139
HTI,56.835,57.148,57.462,57.775,58.087,58.4,58.842,59.284,59.724,60.162,60.596,61.034,61.032,61.379,61.602,61.695,61.827,62.02,62.139,61.952,61.366,62.099,59.948,59.351
HUN,45.552,45.883,46.188,46.403,46.651,46.814,46.929,46.789,46.639,45.846,46.638,46.838,47.455,47.736,48.884,49.901,50.839,51.062,51.527,51.339,51.34,52.211,53.057,53.995
IBD,50.880077840166,50.6807325098358,50.4678950977235,50.3378919312152,50.2070298883887,50.1400031631423,49.6828388848504,49.441389065011,48.9022369570624,48.4876133915201,47.925420568625,47.6261612835203,47.3220380988655,47.0113032922487,46.8178155901273,46.7361978430806,46.6145413470794,46.4333029895679,46.2878645286598,46.1449611546806,44.4548232886122,45.6959224899519,46.1270299234155,46.7372405410177
IBT,50.8517974680639,50.6783248372105,50.4986592744762,50.394870907258,50.2914779780909,50.232172885778,49.8461708051891,49.6595545208381,49.2387954808387,48.9690070811209,48.5849782157138,48.3555616835362,48.0171469976734,47.8250362223229,47.6190047641277,47.5584060605181,47.4058032263275,47.2519118228944,47.1122937798797,47.0135492896356,45.5934920992222,46.624988909877,47.032760258808,47.7868716314639
IDA,50.7299322995701,50.6680367503974,50.629014669168,50.6342235612172,50.643111191728,50.6124712196085,50.512926557356,50.5386891720918,50.57733534395,50.858729251716,51.1395583954846,51.1437583459938,50.6424039678607,50.8672045225235,50.5816826586496,50.5629430747716,50.2596582630496,50.1638978504008,50.002927000146,50.0134681698637,49.4651151428102,49.7325854938437,49.981927273122,51.2394015873235
IDB,48.2154336297338,48.1440076643757,48.1524420301393,48.3529037008804,48.577578611154,48.6776390011668,48.870757463062,48.9401387319112,48.9810385346404,49.315669399378,49.6291740268241,49.6081814076397,49.8098431265514,49.9117451003076,50.0036439468414,50.469711393102,50.249362050414,49.856462589568,49.4043268218828,49.8872275929028,49.1972397457984,50.0770691221338,50.5062126854949,51.8784848291345
IDN,51.67,49.986,48.048,47.846,47.236,46.082,46.008,49.839,50.387,50.3,50.973,50.989,51.49,50.714,50.64,50.772,50.949,51.943,53.131,53.949,53.203,52.069,52.562,53.487
IDX,52.0343408110797,51.9825220766216,51.9211282273486,51.8260209488297,51.724943862782,51.6281531286299,51.3762652571848,51.3814027338573,51.4218158707948,51.6773310533394,51.9422594378351,51.9598855376299,51.0841608667195,51.3735216372124,50.8872257909433,50.6120498479123,50.265054556204,50.324381550919,50.3145153270882,50.07897724066,49.6038093562406,49.554350559108,49.7107785796684,50.8960159579517
IMN,,,,,,,,,,,,,,,,,,,,,,,,
IND,34.397,34.483,34.57,34.66,34.753,34.852,33.499,32.179,30.892,29.641,28.425,27.583,26.764,26.669,26.607,26.582,26.575,26.578,26.568,26.539,25.998,27.724,29.348,30.984
INX,,,,,,,,,,,,,,,,,,,,,,,,
IRL,51.936,52.425,53.12,53.229,53.323,54.982,55.735,56.969,56.827,56.102,55.247,54.93,54.719,55.227,54.884,54.809,55.533,55.589,55.999,56.207,55.055,57.851,59.114,60.155
IRN,13.691,14.578,15.5,16.486,17.555,18.684,18.042,17.005,14.763,15.692,15.14,13.595,14.89,13.344,12.994,14.362,16.174,17.358,17.341,16.812,13.723,13.086,13.469,14.128
IRQ,9.765,10.089,10.423,10.77,11.131,11.504,11.89,12.29,12.215,12.132,12.048,11.965,11.883,12.777,13.722,14.178,14.65,11.334,11.446,11.582,10.885,10.902,11.183,10.913
ISL,73.471,72.559,71.743,72.064,70.445,70.907,71.725,71.322,70.66,70.221,70.49,70.047,70.615,71.064,71.89,72.787,72.997,72.592,71.596,71.457,69.309,69.148,70.57,70.368
ISR,53.469,53.73,53.29,54.174,54.666,55.28,55.654,56.162,56.196,57.132,57.466,57.126,59.333,59.183,60.146,60.114,60.412,60.283,60.857,60.618,59.403,59.696,61.109,61.338
ITA,35.396,35.863,36.326,36.803,38.128,37.755,37.888,37.675,38.396,37.951,37.881,38.069,39.368,39.323,39.746,39.391,40.069,40.578,40.777,40.908,39.501,39.884,40.517,41.312
JAM,58.147,57.325,56.932,56.534,56.565,56.394,56.177,55.937,55.689,53.753,52.347,52.646,53.024,53.938,54.469,58.524,57.654,58.604,58.309,59.835,57.579,58.395,60.803,63.047
JOR,11.845,11.289,11.892,10.852,11.116,11.382,11.579,14.367,13.939,14.589,14.464,14.424,13.864,12.946,12.283,13.599,15.051,16.612,14.649,13.685,14.975,13.964,13.922,15.933
JPN,49.19,49.051,48.457,48.157,48.163,48.284,48.401,48.388,48.36,48.438,48.34,48.09,48.028,48.739,49.176,49.41,50.208,51.031,52.368,53.24,53.09,53.46,54.173,54.847
KAZ,65.834,65.29,64.993,65.085,64.826,64.626,65.019,65.859,66.716,66.47,66.333,66.207,66.037,65.892,65.71,65.46,65.205,65.018,64.818,64.661,63.607,64.068,64.743,65.029
KEN,70.474,70.531,70.588,70.646,70.703,70.761,70.819,70.877,70.936,70.995,71.055,71.114,71.175,71.235,71.295,71.356,71.417,68.685,65.814,62.817,62.167,62.668,62.832,62.946
KGZ,57.886,56.929,57.114,55.843,54.64,54.886,54.428,52.888,51.43,51.098,51.445,52.124,50.03,45.843,47.601,47.459,46.17,42.44,44.016,44.04,43.877,43.997,45.238,43.495
KHM,77.834,77.074,76.315,75.559,75.325,75.101,74.887,74.683,71.971,77.375,81.275,81.841,78.356,74.402,74.39,73.417,75.918,76.417,76.845,77.289,77.09,73.711,77.173,77.22
KIR,,,,,,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,
KOR,49.35,50.001,50.369,49.477,50.637,50.664,50.833,50.648,50.353,49.575,49.767,49.994,50.29,50.805,51.839,52.391,52.568,53.073,53.224,53.772,53.137,53.65,55.03,56.038
KWT,44.177,44.533,45.016,45.617,45.921,46.087,46.028,46.049,46.272,46.689,47.287,48.147,48.889,49.289,49.539,49.648,49.532,49.868,49.614,49.32,46.538,47.507,49.616,48.179
LAC,48.1671908838456,48.690680879249,49.2520621675409,49.8336627249362,50.5273295769654,51.0856678367433,51.3848879191853,51.4034042711853,51.3114769863201,51.9431862260432,51.3452258328432,50.8402408761013,51.1420271924316,50.9502965000799,50.6221713565892,51.0446931851262,51.2554537806146,51.6230931404152,52.0029282826457,52.5920683159216,48.5519551668175,51.1579741460821,52.010624115289,52.0156271421454
LAO,58.658,58.503,58.343,58.182,58.012,57.826,57.604,57.421,57.24,57.075,56.892,56.731,56.58,56.437,56.311,56.202,56.106,56.02,57.066,58.125,58.68,60.323,61.37,61.407
LBN,19.698,19.829,19.959,20.091,20.281,20.51,20.745,20.984,21.585,22.195,22.817,23.448,24.089,24.74,25.401,26.114,26.885,27.67,28.47,29.286,25.944,23.882,22.339,22.234
